horizon_sec,feature,state,trades,mean_pnl_now,future_incremental_mean,final_gross_mean,final_net2_mean,win_rate_final
30,pnl,<=-10,851,-29.883666274970624,0.8119858989424206,-29.071680376028202,-31.071680376028202,0.3443008225616921
30,pnl,-10..0,751,-5.061251664447403,2.9414114513981357,-2.1198402130492675,-4.119840213049268,0.4873501997336884
30,pnl,0..10,895,4.28268156424581,2.8849162011173184,7.167597765363128,5.167597765363128,0.5754189944134078
30,pnl,>10,1158,27.59930829015544,0.3203799654576857,27.919688255613126,25.919688255613126,0.6796200345423143
30,mae,<=-30,577,-28.589254766031196,0.48873483535528596,-28.10051993067591,-30.10051993067591,0.3708838821490468
30,mae,-30..-10,1260,-1.0015873015873016,3.9793650793650794,2.977777777777778,0.9777777777777777,0.5047619047619047
30,mae,-10..0,1682,12.88049940546968,0.7847800237812128,13.665279429250893,11.665279429250893,0.6093935790725327
30,mae,>=0,136,19.514705882352942,-5.610294117647059,13.904411764705882,11.904411764705882,0.6323529411764706
60,pnl,<=-10,1099,-36.57597816196542,4.02729754322111,-32.54868061874431,-34.54868061874431,0.30118289353958144
60,pnl,-10..0,583,-5.241852487135506,2.44082332761578,-2.8010291595197254,-4.801029159519726,0.4562607204116638
60,pnl,0..10,647,4.259659969088099,1.5795981452859351,5.839258114374034,3.839258114374034,0.5765069551777434
60,pnl,>10,1326,33.122171945701356,1.5987933634992459,34.7209653092006,32.7209653092006,0.7473604826546003
60,mae,<=-30,908,-32.77863436123348,6.843612334801762,-25.93502202643172,-27.93502202643172,0.35462555066079293
60,mae,-30..-10,1319,4.847611827141774,1.3404094010614102,6.188021228203184,4.188021228203184,0.5178165276724792
60,mae,-10..0,1325,18.381132075471697,1.1479245283018868,19.529056603773584,17.529056603773584,0.669433962264151
60,mae,>=0,103,23.660194174757283,-4.970873786407767,18.689320388349515,16.689320388349515,0.6699029126213593
