Year,HorizonSec,N,MeanPnL,MedianPnL,WinRate,AvgMFE,MedianMFE,AvgMAE,MedianMAE,P10PnL,P90PnL
2024,15,1189,0.7661900756938604,1.0,0.5088309503784693,9.062237174095879,6.0,-8.441547518923466,-5.0,-12.199999999999989,12.200000000000045
2024,30,1189,0.687973086627418,1.0,0.5197645079899075,12.09587888982338,9.0,-11.794785534062237,-8.0,-18.0,19.0
2024,60,1189,-0.33641715727502103,1.0,0.5012615643397813,15.87636669470143,11.0,-16.337258200168208,-11.0,-26.0,23.0
2024,90,1189,-0.07737594617325484,1.0,0.5121951219512195,19.104289318755256,14.0,-20.100925147182505,-13.0,-31.0,29.0
2024,120,1189,0.5054667788057191,2.0,0.5197645079899075,21.691337258200168,16.0,-22.67451640033642,-15.0,-35.0,33.0
2024,180,1189,1.6307821698906644,2.0,0.5172413793103449,26.277544154751894,18.0,-27.05214465937763,-18.0,-40.0,42.0
2024,240,1189,1.2270815811606393,1.0,0.5021026072329688,29.645079899074855,21.0,-30.317073170731707,-20.0,-42.19999999999999,46.0
2024,300,1189,2.3204373423044573,2.0,0.528174936921783,33.048780487804876,23.0,-33.72834314550042,-22.0,-49.0,50.0
2025,15,1057,0.6244087038789026,1.0,0.5061494796594135,10.951750236518448,8.0,-10.175023651844844,-7.0,-15.0,16.0
2025,30,1057,1.5704824976348155,2.0,0.5316934720908231,15.068117313150426,11.0,-13.461684011352885,-9.0,-21.0,22.0
2025,60,1057,1.7890255439924314,2.0,0.522232734153264,20.85430463576159,15.0,-18.790917691579942,-13.0,-28.0,30.0
2025,90,1057,1.945127719962157,3.0,0.5354777672658467,24.8155156102176,19.0,-22.635761589403973,-16.0,-33.0,36.0
2025,120,1057,2.2459791863765375,2.0,0.5279091769157994,27.919583727530746,21.0,-25.610217596972564,-18.0,-38.0,41.0
2025,180,1057,1.6688741721854305,1.0,0.5127719962157048,32.778618732261116,24.0,-30.906338694418164,-22.0,-45.79999999999998,50.39999999999998
2025,240,1057,2.282876064333018,3.0,0.5250709555345316,37.216650898770105,27.0,-35.264900662251655,-25.0,-52.79999999999998,56.0
2025,300,1057,2.562913907284768,3.0,0.5203405865657521,41.567644276253546,30.0,-39.37653736991486,-28.0,-60.0,59.0
2026,15,1409,0.5777146912704045,2.0,0.5280340667139816,18.53371185237757,13.0,-18.59829666430092,-11.0,-28.19999999999999,28.0
2026,30,1409,2.8977998580553583,3.0,0.5550035486160397,26.0014194464159,18.0,-24.847409510290987,-16.0,-37.0,40.0
2026,60,1409,1.3711852377572746,3.0,0.5358410220014195,35.56139105748758,26.0,-34.43718949609652,-23.0,-52.0,52.200000000000045
2026,90,1409,2.843151171043293,5.0,0.5400993612491128,42.36692689850958,31.0,-41.33002129169624,-27.0,-60.0,62.0
2026,120,1409,4.463449254790632,5.0,0.5393896380411639,48.17104329311569,36.0,-47.35841022001419,-31.0,-68.19999999999999,74.0
2026,180,1409,4.441447835344216,7.0,0.5450674237047551,57.64371894960965,42.0,-55.70333569907736,-38.0,-84.0,86.0
2026,240,1409,3.820440028388928,6.0,0.5379701916252662,64.60468417317246,47.0,-63.587650816181686,-42.0,-93.19999999999999,98.0
2026,300,1409,4.929737402413059,9.0,0.5557132718239887,71.37757274662881,51.0,-70.24414478353442,-48.0,-102.19999999999999,107.20000000000005
Total,15,3655,0.652530779753762,1.0,0.5154582763337894,13.259917920656635,9.0,-12.85827633378933,-8.0,-19.0,20.0
Total,30,3655,1.7950752393980849,2.0,0.5367989056087551,18.316005471956224,12.0,-17.308618331053353,-11.0,-25.0,28.0
Total,60,3655,0.9365253077975376,2.0,0.520656634746922,24.904514363885088,17.0,-24.02435020519836,-15.0,-37.0,37.0
Total,90,3655,1.6333789329685362,3.0,0.5296853625170999,29.723666210670313,20.0,-29.01778385772914,-18.0,-42.0,44.0
Total,120,3655,2.5346101231190152,3.0,0.5296853625170999,33.700410396716826,23.0,-33.0391244870041,-20.0,-46.0,50.0
Total,180,3655,2.72530779753762,3.0,0.5266757865937073,40.24924760601915,27.0,-39.21176470588235,-24.0,-55.0,62.0
Total,240,3655,2.5321477428180574,3.0,0.5225718194254446,45.311627906976746,30.0,-44.57373461012312,-28.0,-63.0,68.0
Total,300,3655,3.3964432284541726,4.0,0.5365253077975376,50.28809849521204,34.0,-49.43857729138167,-32.0,-70.0,74.0
