Group,N,FinalNet2Mean,PnL15Mean,MFE15Mean,MAE15Mean,PctPnL15Positive,PnL30Mean,MFE30Mean,MAE30Mean,PctPnL30Positive,PnL60Mean,MFE60Mean,MAE60Mean,PctPnL60Positive,PnL120Mean,MFE120Mean,MAE120Mean,PctPnL120Positive
Top1Winner,37,328.7567567567568,11.45945945945946,40.08108108108108,-31.675675675675677,0.6216216216216216,40.2972972972973,65.83783783783784,-35.486486486486484,0.8108108108108109,85.62162162162163,132.8918918918919,-42.027027027027025,0.7567567567567568,174.8108108108108,222.32432432432432,-54.4054054054054,0.918918918918919
Other99,3618,-1.951354339414041,0.5420121614151465,12.98562741846324,-12.665837479270316,0.5143725815367607,1.4013266998341625,17.830016583747927,-17.122719734660034,0.5339966832504146,0.07048092868988391,23.80016583747927,-23.84024322830293,0.5182421227197347,0.7728026533996684,31.77142067440575,-32.82061912658928,0.5257048092868989
FinalWinner,1883,48.61072756240043,4.4275092936802976,15.382368560807222,-11.051513542219862,0.6006372809346787,8.204992033988317,21.949017525225702,-14.036643653744026,0.6526818906001062,12.738183749336166,31.279872543813063,-18.07222517259692,0.6914498141263941,24.177376526818907,45.15985130111524,-22.11046202867764,0.7573021773765268
FinalLoser,1772,-48.77539503386004,-3.358916478555305,11.00451467268623,-14.778216704288939,0.42494356659142213,-5.016365688487585,14.455417607223476,-20.785553047404065,0.4136568848758465,-11.604401805869074,18.12979683972912,-30.349322799097067,0.3391647855530474,-20.46388261851016,21.52313769751693,-44.652370203160274,0.2878103837471783
