Year,Group,N,MedianTimeToMFE,MeanTimeToMFE,MedianTimeToMAE,MeanTimeToMAE,MFEbeforeMAE,SameSecond
2024,All,1189,123.0,137.02102607232968,103.0,125.96299411269975,0.4701429772918419,0.0
2024,FinalWinner,586,238.5,210.67064846416383,26.5,53.74232081911263,0.09215017064846416,0.0
2024,FinalLoser,603,35.0,65.44776119402985,220.0,196.14759535655057,0.8374792703150912,0.0
2024,Top1Winner,2,240.5,240.5,19.0,19.0,0.0,0.0
2025,All,1057,131.0,141.46073793755912,115.0,131.09744560075686,0.467360454115421,0.000946073793755913
2025,FinalWinner,530,241.5,212.7490566037736,26.0,52.86037735849057,0.06981132075471698,0.0
2025,FinalLoser,527,42.0,69.76660341555977,230.0,209.7798861480076,0.8671726755218216,0.0018975332068311196
2025,Top1Winner,6,295.0,284.5,8.0,30.0,0.0,0.0
2026,All,1409,132.0,140.735982966643,102.0,124.65010645848119,0.4464158977998581,0.0
2026,FinalWinner,767,226.0,203.53194263363756,29.0,57.521512385919166,0.09256844850065189,0.0
2026,FinalLoser,642,39.0,65.71339563862928,230.0,204.84890965732086,0.8691588785046729,0.0
2026,Top1Winner,29,287.0,260.58620689655174,5.0,20.379310344827587,0.0,0.0
Total,All,3655,130.0,139.73707250341997,106.0,126.94172366621068,0.4601915184678523,0.00027359781121751026
Total,FinalWinner,1883,234.0,208.34784917684547,27.0,55.03345724907063,0.08603292618162507,0.0
Total,FinalLoser,1772,39.0,66.82844243792326,228.0,203.3544018058691,0.8577878103837472,0.000564334085778781
Total,Top1Winner,37,288.0,263.3783783783784,6.0,21.864864864864863,0.0,0.0
