Year,Early09_1030,HighVolCausalPct80,N,PF,E,Win,PnL
2024,False,False,162,1.1088053841839596,1.1975308641975309,0.5555555555555556,194.0
2024,False,True,594,0.9160698073237163,-1.4006734006734007,0.4713804713804714,-832.0
2024,True,False,126,1.01671826625387,0.21428571428571427,0.4523809523809524,27.0
2024,True,True,307,1.1653057823696051,3.231270358306189,0.5179153094462541,992.0
2025,False,False,238,0.6243475018642803,-8.466386554621849,0.47478991596638653,-2015.0
2025,False,True,501,1.1225535880708295,2.624750499001996,0.499001996007984,1315.0
2025,True,False,223,1.0561083471531232,0.9103139013452914,0.5022421524663677,203.0
2025,True,True,95,1.78,11.494736842105263,0.5789473684210527,1092.0
2026,False,False,206,0.9044522261130565,-3.70873786407767,0.5485436893203883,-764.0
2026,False,True,766,1.0500564873555227,1.5039164490861618,0.5339425587467362,1152.0
2026,True,False,99,0.9453991130820399,-1.9898989898989898,0.5151515151515151,-197.0
2026,True,True,338,1.3457147874956095,11.64792899408284,0.5739644970414202,3937.0
Total,False,False,606,0.8292940632635541,-4.265676567656766,0.5214521452145214,-2585.0
Total,False,True,1861,1.0374510387795772,0.8785599140247179,0.5045674368619022,1635.0
Total,True,False,448,1.003732609433322,0.07366071428571429,0.49107142857142855,33.0
Total,True,True,740,1.3204534568098356,8.136486486486486,0.5513513513513514,6021.0
