Year,Bucket,Trades,PF,Expectancy,WinRate,AvgMFE,AvgMAE,Net2Total
2024,D 08:45-09:00,69,0.5654761904761905,-9.521739130434783,0.4057971014492754,29.92753623188406,-40.65217391304348,-657.0
2024,D 09:00-09:30,204,1.136120996441281,2.25,0.4852941176470588,35.318627450980394,-33.82843137254902,459.0
2024,D 09:30-10:30,229,1.1319509896324222,2.445414847161572,0.5109170305676856,38.122270742358076,-36.043668122270745,560.0
2024,D 10:30-11:30,103,0.9455872594558726,-0.7961165048543689,0.47572815533980584,28.203883495145632,-30.650485436893202,-82.0
2024,D 11:30-13:45,135,0.6883177570093458,-4.940740740740741,0.43703703703703706,26.103703703703705,-29.488888888888887,-667.0
2024,N 01:00-05:00,76,1.7450682852807284,6.4605263157894735,0.6052631578947368,27.539473684210527,-22.43421052631579,491.0
2024,N 15:00-17:00,71,1.18991899189919,2.971830985915493,0.5211267605633803,36.66197183098591,-43.183098591549296,211.0
2024,N 17:00-21:00,107,0.8989508558807289,-1.7102803738317758,0.4953271028037383,33.401869158878505,-34.44859813084112,-183.0
2024,N 21:00-01:00,195,1.084235453315291,1.2769230769230768,0.5025641025641026,33.825641025641026,-33.57948717948718,249.0
2025,D 08:45-09:00,52,0.9336283185840708,-1.1538461538461537,0.5,35.73076923076923,-31.846153846153847,-60.0
2025,D 09:00-09:30,191,1.179185520361991,3.1099476439790577,0.5235602094240838,41.35078534031414,-36.09424083769633,594.0
2025,D 09:30-10:30,127,1.4116265413975337,5.519685039370079,0.5275590551181102,36.874015748031496,-29.4251968503937,701.0
2025,D 10:30-11:30,55,0.851129363449692,-2.6363636363636362,0.509090909090909,34.69090909090909,-35.09090909090909,-145.0
2025,D 11:30-13:45,66,0.5653409090909091,-9.272727272727273,0.4393939393939394,30.015151515151516,-36.27272727272727,-612.0
2025,N 01:00-05:00,145,1.0948985189248492,2.386206896551724,0.46206896551724136,50.26896551724138,-52.234482758620686,346.0
2025,N 15:00-17:00,54,0.7926356589147286,-3.962962962962963,0.5185185185185185,42.72222222222222,-33.2037037037037,-214.0
2025,N 17:00-21:00,73,0.7913862718707941,-4.2465753424657535,0.4931506849315068,38.24657534246575,-37.15068493150685,-310.0
2025,N 21:00-01:00,294,1.0444009632751354,1.0034013605442176,0.5068027210884354,44.96938775510204,-43.98299319727891,295.0
2026,D 08:45-09:00,74,1.4940659340659341,15.18918918918919,0.5405405405405406,85.48648648648648,-76.29729729729729,1124.0
2026,D 09:00-09:30,213,1.4356882921320115,16.300469483568076,0.5868544600938967,94.4319248826291,-90.07042253521126,3472.0
2026,D 09:30-10:30,224,1.0381386082254163,1.1964285714285714,0.5357142857142857,71.70089285714286,-70.33482142857143,268.0
2026,D 10:30-11:30,93,0.9554294975688817,-1.1827956989247312,0.4946236559139785,58.27956989247312,-55.59139784946237,-110.0
2026,D 11:30-13:45,78,0.5805809789096698,-13.512820512820513,0.5256410256410257,57.717948717948715,-65.82051282051282,-1054.0
2026,N 01:00-05:00,151,0.9828991529486975,-0.7086092715231788,0.5562913907284768,77.70198675496688,-75.84105960264901,-107.0
2026,N 15:00-17:00,79,0.921003717472119,-2.151898734177215,0.4810126582278481,50.177215189873415,-58.91139240506329,-170.0
2026,N 17:00-21:00,103,1.0688150386035582,1.9902912621359223,0.5533980582524272,66.03883495145631,-63.12621359223301,205.0
2026,N 21:00-01:00,394,1.0404334465469838,1.2690355329949239,0.5482233502538071,65.0989847715736,-64.65989847715736,500.0
