metric,estimate,ci2.5,median,ci97.5,prob_gt_0
R3_minus_ACCEL_total_points,651.0,47.0,617.0,1424.0,0.9847666666666667
R3_expectancy_points_per_trade,8.578237410071942,3.330113455103681,8.563937229672014,14.114863483182829,0.9992333333333333
