N,Net,E,PF,Win,MaxDD,signal_q,prestate_events
644,6131.0,9.520186335403727,1.3485503126776577,0.5279503105590062,-1239.0,0.0002,5622
801,7183.0,8.967540574282147,1.3406364110589464,0.5255930087390761,-1313.0,0.0003,7612
1112,8426.0,7.577338129496403,1.3064891604830495,0.5467625899280576,-1235.0,0.0005,11575
1421,8370.0,5.890218156228008,1.2403998046931097,0.5348346235045742,-1622.0,0.00075,16260
1661,5420.0,3.263094521372667,1.1302352404065645,0.5189644792293799,-2645.0,0.001,20363
2052,7018.0,3.4200779727095516,1.1396255695044069,0.5224171539961013,-2029.0,0.0015,27636
2332,7474.0,3.204974271012007,1.1335024292655045,0.5192967409948542,-2056.0,0.002,34391
