repeat_bucket,trades,net_total,expectancy,profit_factor,win_rate,max_loss
0,314,10193.0,32.461783439490446,5.708083140877598,0.7547770700636943,-228.0
1,218,5287.0,24.25229357798165,2.8332177531206657,0.6330275229357798,-297.0
2,157,1099.0,7.0,1.2785098834262545,0.5222929936305732,-297.0
3-4,189,-144.0,-0.7619047619047619,0.9729831144465291,0.42857142857142855,-272.0
5-9,196,-4776.0,-24.367346938775512,0.48985259559923094,0.336734693877551,-589.0
10+,38,-3233.0,-85.07894736842105,0.15032851511169515,0.10526315789473684,-264.0
