n,total,E,PF,win_rate,max_loss,max_dd,tail_le_-100,tail_le_-150,tail_le_-200,tail_le_-300,strategy
1112,8426.0,7.577338129496403,1.3064891604830495,0.5467625899280576,-589.0,-1235.0,81,38,12,2,BASE_V1
1112,8888.0,7.9928057553956835,1.32881982981872,0.5467625899280576,-310.0,-1176.0,80,36,12,1,ACCEL30
1112,9213.0,8.285071942446043,1.3471363978899773,0.5422661870503597,-297.0,-1134.0,76,29,10,0,R2_ACCEL30_FAIL180
1112,9539.0,8.578237410071942,1.364125663243883,0.5440647482014388,-310.0,-1176.0,75,34,12,1,R3_ACCEL30_REPEAT5_45
1112,9707.0,8.72931654676259,1.3753093102381688,0.539568345323741,-297.0,-1091.0,72,29,10,0,R3_FULL_R2_PLUS_REPEAT
