q,trigger_n,trigger_dates,delta,boot_lo,boot_hi,p_gt0,maxloss,ES1,ES2.5,ES5,improved_triggers,worsened_triggers
0.6,14,14,317.0,31.0,651.0,0.9858666666666667,-310.0,-261.9166666666667,-215.28571428571428,-175.01785714285714,8,6
0.7,10,10,263.0,10.0,576.0,0.9797,-310.0,-261.9166666666667,-215.28571428571428,-175.01785714285714,6,4
