Variant,N,Net,E,PF,WinRate,AvgLoss,MaxLoss,MaxDD,MaxLoss_to_AvgLoss
BASE_V1,1112,8426.0,7.577338129496403,1.3064891604830495,0.5467625899280576,-56.22085889570552,-589.0,-1235.0,10.476538629419467
ACCEL30_ONLY,1112,8888.0,7.9928057553956835,1.32881982981872,0.5467625899280576,-55.2760736196319,-310.0,-1176.0,5.608213096559378
R2_TWO_STAGE,1112,9213.0,8.285071942446043,1.3471363978899773,0.5422661870503597,-53.7246963562753,-297.0,-1134.0,5.5281838733986435
