N,Net,E,PF,Win,MaxDD,vol_pct,hist_window
1091,6418.0,5.882676443629697,1.2422618148875133,0.5407882676443629,-1265.0,0.8,40
1090,7060.0,6.477064220183486,1.2648559423769508,0.5412844036697247,-1205.0,0.8,50
1095,7458.0,6.810958904109589,1.2801652892561983,0.5461187214611872,-1176.0,0.8,55
1109,8343.0,7.5229936880072135,1.3038237436270939,0.5464382326420198,-1235.0,0.8,60
1112,8426.0,7.577338129496403,1.3064891604830495,0.5467625899280576,-1235.0,0.8,61
1128,8745.0,7.752659574468085,1.3156242104883242,0.5487588652482269,-1235.0,0.8,62
1136,8629.0,7.595950704225352,1.310228294085925,0.5484154929577465,-1235.0,0.8,65
1173,8624.0,7.352088661551577,1.3020242347832178,0.545609548167093,-1235.0,0.8,70
1192,9055.0,7.596476510067114,1.3103471912808033,0.5469798657718121,-1235.0,0.8,75
1214,8193.0,6.748764415156508,1.2786355597877839,0.5444810543657331,-1213.0,0.8,90
