N,Net,E,PF,Win,MaxDD,vol_pct,hist_window
1380,8130.0,5.891304347826087,1.2469323290001215,0.5376811594202898,-1446.0,0.65,61
1309,8568.0,6.545454545454546,1.273353751914242,0.5439266615737204,-1243.0,0.7,61
1223,9194.0,7.517579721995094,1.3121159656448382,0.5470155355682748,-1235.0,0.75,61
1112,8426.0,7.577338129496403,1.3064891604830495,0.5467625899280576,-1235.0,0.8,61
1058,6643.0,6.27882797731569,1.2571417511806147,0.5396975425330813,-1205.0,0.85,61
999,4982.0,4.986986986986987,1.1989060566135665,0.5355355355355356,-1265.0,0.9,61
889,4520.0,5.084364454443195,1.2076824113214482,0.5376827896512936,-1191.0,0.95,61
