Year,TotalRoundTripFrictionPts,PF,Expectancy,TotalPnL,WinRate
2024,0.0,1.151793573943662,2.3204373423044573,2759.0,0.528174936921783
2024,0.5,1.1172757565085472,1.8204373423044575,2164.5,0.528174936921783
2024,1.0,1.0837914287239152,1.3204373423044575,1570.0,0.5164003364171573
2024,1.5,1.0512759862282846,0.8204373423044575,975.5,0.5164003364171573
2024,2.0,1.019728666114333,0.32043734230445753,381.0,0.4928511354079058
2024,2.5,0.989114640426237,-0.17956265769554247,-213.5,0.4928511354079058
2024,3.0,0.9594275671604319,-0.6795626576955425,-808.0,0.4827586206896552
2024,3.5,0.9306465570527878,-1.1795626576955425,-1402.5,0.4827586206896552
2024,4.0,0.9027277155382367,-1.6795626576955425,-1997.0,0.4726661059714045
2024,4.5,0.8756686736872407,-2.1795626576955427,-2591.5,0.4726661059714045
2024,5.0,0.849411542279151,-2.6795626576955427,-3186.0,0.456686291000841
2025,0.0,1.134843205574913,2.562913907284768,2709.0,0.5203405865657521
2025,0.5,1.107184112861602,2.062913907284768,2180.5,0.5203405865657521
2025,1.0,1.0802058552216343,1.5629139072847682,1652.0,0.5127719962157048
2025,1.5,1.0538732647630007,1.0629139072847682,1123.5,0.5127719962157048
2025,2.0,1.028183023872679,0.5629139072847682,595.0,0.5014191106906338
2025,2.5,1.0031110383382844,0.06291390728476821,66.5,0.5014191106906338
2025,3.0,0.9786496603355054,-0.4370860927152318,-462.0,0.49195837275307475
2025,3.5,0.9547871733424627,-0.9370860927152318,-990.5,0.49195837275307475
2025,4.0,0.9315025252525253,-1.4370860927152318,-1519.0,0.48438978240302744
2025,4.5,0.9087912332672562,-1.9370860927152318,-2047.5,0.48438978240302744
2025,5.0,0.8866247084195238,-2.437086092715232,-2576.0,0.47776726584673607
2026,0.0,1.155231752558888,4.929737402413059,6946.0,0.5557132718239887
2026,0.5,1.1385183870037063,4.429737402413059,6241.5,0.5557132718239887
2026,1.0,1.1220356166798906,3.9297374024130587,5537.0,0.5500354861603974
2026,1.5,1.105769441222176,3.4297374024130587,4832.5,0.5500354861603974
2026,2.0,1.0897274268573665,2.9297374024130587,4128.0,0.5443577004968062
2026,2.5,1.0738985904548104,2.4297374024130587,3423.5,0.5443577004968062
2026,3.0,1.0582876007545876,1.929737402413059,2719.0,0.5365507452093683
2026,3.5,1.0428849695047313,1.429737402413059,2014.5,0.5365507452093683
2026,4.0,1.0276949747362636,0.9297374024130589,1310.0,0.5266146202980837
2026,4.5,1.012711375158761,0.4297374024130589,605.5,0.5266146202980837
2026,5.0,0.9979361240827218,-0.07026259758694109,-99.0,0.5216465578424414
Total,0.0,1.149544644147834,3.3964432284541726,12414.0,0.5365253077975376
Total,0.5,1.126241667561025,2.8964432284541726,10586.5,0.5365253077975376
Total,1.0,1.1034047174934478,2.3964432284541726,8759.0,0.5283173734610123
Total,1.5,1.0810057498130141,1.8964432284541723,6931.5,0.5283173734610123
Total,2.0,1.0590535693624898,1.3964432284541723,5104.0,0.5151846785225718
Total,2.5,1.0375246232076596,0.8964432284541723,3276.5,0.5151846785225718
Total,3.0,1.0164281989070543,0.39644322845417235,1449.0,0.506155950752394
Total,3.5,0.9957521786217307,-0.10355677154582764,-378.5,0.506155950752394
Total,4.0,0.9754907951603764,-0.6035567715458277,-2206.0,0.4968536251709986
Total,4.5,0.9556399949409689,-1.1035567715458277,-4033.5,0.4968536251709986
Total,5.0,0.936186660279163,-1.6035567715458277,-5861.0,0.4878248974008208
