Trades,PF_Net2,Expectancy_Net2,WinRate,AvgWin,AvgLoss,PayoffRatio,MedianTrade,P10,P25,P75,P90,P95,P99,MaxWin,MaxLoss,AvgMFE,MedianMFE,AvgMAE,MedianMAE,AvgHoldingSec,MedianHoldingSec,Top1PctPnL,Top1PctShareOfTotal,PnLWithoutTop1Pct,ExpectancyWithoutTop1Pct,Top5PctPnL,Top5PctShareOfTotal,PnLWithoutTop5Pct,ExpectancyWithoutTop5Pct,MaxConsecutiveLosses,Net2Total,GrossExpectancy,GrossTotal,Year
1189,1.019728666114333,0.3204373423044575,0.4928511354079058,33.60958904109589,-33.59169435215947,1.0005321092195145,0.0,-51.0,-23.0,23.0,48.0,75.0,142.12000000000035,390.0,-343.0,33.048780487804876,23.0,-33.72834314550042,-22.0,300.1261564339781,300.0,2306.0,6.05249343832021,-1925.0,-1.6355140186915889,6864.0,18.015748031496063,-6483.0,-5.742249778565101,8,381.0,2.3204373423044573,2759.0,2024
1057,1.028183023872679,0.5629139072847682,0.5014191106906338,40.9566037735849,-40.994174757281556,0.9990835043291125,1.0,-62.0,-28.0,29.0,57.0,84.0,159.44000000000005,834.0,-589.0,41.567644276253546,30.0,-39.37653736991486,-28.0,300.10785241248817,300.0,3318.0,5.576470588235294,-2723.0,-2.6032504780114722,7700.0,12.941176470588236,-7105.0,-7.076693227091633,8,595.0,2.562913907284768,2709.0,2025
1409,1.0897274268573665,2.9297374024130587,0.5443577004968062,65.36375488917862,-72.56466876971609,0.900765565355372,7.0,-104.19999999999999,-43.0,51.0,105.20000000000005,144.79999999999973,264.60000000000036,1347.0,-984.0,71.37757274662881,51.0,-70.24414478353442,-48.0,300.1433640880057,300.0,5826.0,1.4113372093023255,-1698.0,-1.218077474892396,16384.0,3.9689922480620154,-12256.0,-9.159940209267564,8,4128.0,4.929737402413059,6946.0,2026
3655,1.0590535693624898,1.3964432284541723,0.5151846785225718,48.61072756240043,-50.13341067285383,0.9696273784285356,2.0,-72.0,-30.0,34.0,72.0,108.0,211.30000000000018,1347.0,-984.0,50.28809849521204,34.0,-49.43857729138167,-32.0,300.12749658002735,300.0,12164.0,2.383228840125392,-7060.0,-1.951354339414041,33075.0,6.480211598746082,-27971.0,-8.056163594470046,8,5104.0,3.3964432284541726,12414.0,Total
