calendar_day,PnL,Trades
2024-08-29,3.0,1
2025-11-18,3.0,24
2025-07-18,3.0,1
2025-03-10,2.0,4
2025-09-16,2.0,1
2026-06-12,2.0,14
2024-04-12,2.0,3
2025-01-13,1.0,9
2025-01-03,1.0,1
2024-09-07,0.0,1
2025-01-16,0.0,6
2024-08-20,0.0,1
2024-07-10,0.0,4
2025-01-22,0.0,2
2025-12-18,-1.0,1
2026-05-29,-1.0,4
2026-01-23,-2.0,3
2024-11-13,-2.0,1
2025-11-19,-2.0,6
2025-11-24,-3.0,5
2024-12-26,-3.0,1
2025-02-14,-3.0,3
2024-03-25,-3.0,1
2025-07-08,-3.0,1
2025-05-27,-4.0,1
2025-11-15,-4.0,2
2024-08-10,-4.0,1
2025-03-21,-4.0,1
2025-09-01,-5.0,6
2025-02-06,-5.0,1
2026-04-21,-5.0,2
2026-05-21,-7.0,3
2024-08-30,-7.0,1
2025-01-07,-7.0,3
2025-10-02,-8.0,7
2025-03-17,-10.0,3
2024-04-11,-10.0,3
2025-10-09,-11.0,8
2025-10-22,-11.0,5
2024-10-07,-11.0,1
2025-04-26,-12.0,1
2025-04-01,-12.0,4
2026-07-20,-13.0,5
2025-12-09,-13.0,1
2025-03-08,-14.0,3
2025-03-19,-14.0,2
2024-12-03,-14.0,1
2025-08-08,-14.0,3
2025-09-19,-14.0,2
2024-05-16,-15.0,4
2026-03-17,-15.0,11
2024-06-25,-17.0,10
2025-12-16,-17.0,1
2026-03-25,-17.0,7
2024-09-02,-17.0,2
2024-03-27,-17.0,2
2024-12-12,-18.0,1
2026-04-09,-18.0,2
2025-04-21,-19.0,2
2026-03-10,-19.0,52
2024-09-05,-20.0,2
2024-06-11,-20.0,7
2024-09-10,-21.0,1
2026-01-07,-21.0,3
2025-04-23,-21.0,3
2026-04-28,-22.0,3
2024-11-25,-22.0,2
2024-04-08,-22.0,2
2024-04-15,-23.0,5
2025-02-04,-23.0,3
2025-09-24,-24.0,6
2025-03-28,-24.0,2
2024-05-28,-26.0,3
2024-08-23,-26.0,1
2025-10-08,-27.0,3
2024-06-26,-28.0,9
2025-07-23,-28.0,1
2024-06-03,-28.0,1
2026-05-08,-28.0,2
2026-04-30,-28.0,5
2026-04-14,-29.0,1
2024-11-14,-30.0,1
2024-05-06,-30.0,5
2025-02-27,-30.0,7
2025-08-13,-31.0,3
2024-04-20,-32.0,2
2025-09-17,-32.0,1
2024-09-11,-33.0,1
2025-02-25,-33.0,2
2024-06-04,-33.0,8
2025-12-11,-33.0,4
2026-06-04,-34.0,3
2024-07-02,-34.0,7
2025-07-21,-35.0,1
2026-05-06,-36.0,6
2026-03-14,-37.0,10
2024-08-14,-38.0,16
2025-10-27,-39.0,3
2025-08-22,-40.0,6
2025-01-17,-40.0,6
2025-08-12,-40.0,2
2024-04-30,-40.0,6
2025-02-10,-41.0,1
2024-12-20,-42.0,3
2025-04-15,-42.0,6
2025-04-16,-42.0,1
2026-01-29,-44.0,17
2024-11-06,-45.0,6
2026-02-26,-45.0,14
2025-07-25,-47.0,1
2024-05-15,-47.0,5
2025-08-05,-48.0,1
2024-03-26,-49.0,13
2025-08-14,-49.0,3
2026-08-05,-49.0,2
2024-05-07,-51.0,4
2024-04-25,-52.0,15
2024-05-20,-53.0,5
2024-08-13,-54.0,8
2025-12-12,-55.0,3
2026-05-19,-56.0,6
2024-07-29,-57.0,5
2024-12-19,-58.0,5
2024-04-26,-58.0,9
2025-02-07,-60.0,3
2024-06-06,-62.0,5
2025-05-29,-62.0,1
2025-07-07,-62.0,1
2026-04-22,-66.0,3
2024-08-01,-67.0,9
2024-11-29,-67.0,4
2025-08-28,-67.0,3
2025-07-28,-69.0,3
2025-10-30,-69.0,10
2026-01-08,-71.0,4
2025-03-06,-73.0,9
2026-03-07,-74.0,14
2025-08-20,-74.0,6
2024-06-07,-75.0,2
2025-09-18,-77.0,7
2025-11-10,-77.0,5
2025-10-15,-78.0,15
2024-04-16,-78.0,21
2026-06-10,-79.0,43
2026-06-11,-79.0,23
2025-11-25,-79.0,7
2025-07-31,-81.0,5
2026-03-13,-82.0,50
2024-06-05,-84.0,6
2025-03-04,-85.0,15
2025-07-17,-86.0,2
2026-01-16,-87.0,3
2026-04-07,-90.0,8
2024-04-10,-102.0,1
2026-04-16,-106.0,2
2026-03-16,-109.0,23
2024-06-21,-111.0,10
2025-01-06,-118.0,2
2024-07-19,-119.0,14
2024-09-04,-119.0,5
2025-01-10,-120.0,4
2026-05-15,-125.0,8
2026-06-25,-126.0,12
2026-03-18,-128.0,7
2024-04-17,-135.0,10
2026-07-28,-137.0,6
2026-07-23,-137.0,2
2025-12-03,-138.0,2
2024-07-15,-139.0,17
2024-11-21,-139.0,3
2025-05-23,-142.0,2
2025-11-07,-143.0,11
2026-04-29,-152.0,3
2025-11-06,-152.0,9
2024-04-18,-153.0,20
2026-07-17,-157.0,3
2024-07-09,-158.0,14
2026-07-16,-164.0,4
2025-10-16,-164.0,10
2026-01-09,-175.0,5
2026-02-23,-176.0,10
2026-02-03,-176.0,12
2024-04-22,-177.0,24
2026-04-01,-180.0,7
2026-05-22,-180.0,3
2026-05-27,-187.0,6
2026-03-11,-191.0,37
2025-11-21,-191.0,29
2026-02-02,-192.0,14
2026-01-02,-192.0,3
2026-07-04,-205.0,2
2025-09-26,-228.0,11
2026-07-31,-231.0,3
2026-04-02,-234.0,13
2024-08-05,-241.0,97
2024-09-06,-261.0,6
2024-07-18,-264.0,20
2026-05-12,-279.0,3
2026-07-08,-297.0,6
2024-08-02,-307.0,26
2025-03-11,-318.0,12
2026-03-20,-327.0,7
2026-03-03,-337.0,52
2026-06-24,-348.0,3
2026-03-12,-349.0,31
2024-04-19,-354.0,42
2025-04-14,-375.0,18
2026-07-29,-396.0,8
2026-07-01,-430.0,5
2026-06-06,-451.0,10
2024-07-22,-481.0,23
2026-06-09,-516.0,16
2025-04-03,-525.0,8
2026-03-05,-545.0,57
2026-04-23,-551.0,13
2026-06-05,-809.0,7
2026-05-28,-817.0,10
2025-04-09,-1712.0,105
