Scope,CI2.5,Median,CI97.5,Mean
Total,-0.8969071986880491,1.4137230426144969,3.784004273830519,1.4260872485986829
2024,-1.7577400350150374,0.34253299224021505,2.507415728511492,
2025,-3.8456188342819533,0.662056049135013,4.77332231499788,
2026,-1.4991518137308062,2.9505491174995733,7.835236632847001,
